iter	Passed	Remaining
928	1611	123
929	1612	121
930	1615	119
931	1617	118
932	1619	116
933	1620	114
934	1622	112
935	1623	110
936	1624	109
937	1625	107
938	1627	105
939	1629	104
940	1631	102
941	1632	100
942	1634	98
943	1635	97
944	1636	95
945	1638	93
946	1639	91
947	1640	90
948	1642	88
949	1644	86
950	1645	84
951	1647	83
952	1648	81
953	1649	79
954	1651	77
955	1652	76
956	1653	74
957	1655	72
958	1656	70
959	1658	69
960	1659	67
961	1661	65
962	1662	63
963	1664	62
964	1665	60
965	1667	58
966	1668	56
967	1670	55
968	1672	53
969	1674	51
970	1675	50
971	1677	48
972	1678	46
973	1680	44
974	1681	43
975	1683	41
976	1684	39
977	1686	37
978	1687	36
979	1689	34
980	1690	32
981	1692	31
982	1693	29
983	1695	27
984	1696	25
985	1697	24
986	1699	22
987	1701	20
988	1702	18
989	1704	17
990	1705	15
991	1706	13
992	1708	12
993	1709	10
994	1711	8
995	1712	6
996	1713	5
997	1714	3
998	1716	1
999	1717	0
